"version","doi","id_var","Typ","Nachname","Vorname","Gender","Geburtsjahr","Partei","Region","Funktion","TikTok","TikTok_Link","Instagram","Facebook","TikTok_Follower","TikTok_Alter","TikTok_Videos","TikTok_Likes","TikTok_Bio","V1_Link","V1_Views","V1_Likes","V1_Kommentare","V1_Shares","V1_Setting","V1_Selfie","V1_Kleidung","V1_Call","V1_Musik","V1_Familie","V1_Partei","V1_Trend","V2_Link","V2_Views","V2_Likes","V2_Kommentare","V2_Shares","V2_Setting","V2_Selfie","V2_Kleidung","V2_Call","V2_Musik","V2_Familie","V2_Partei","V2_Trend","V3_Link","V3_Views","V3_Likes","V3_Kommentare","V3_Shares","V3_Setting","V3_Selfie","V3_Kleidung","V3_Call","V3_Musik","V3_Familie","V3_Partei","V3_Trend","V4_Link","V4_Views","V4_Likes","V4_Kommentare","V4_Shares","V4_Setting","V4_Selfie","V4_Kleidung","V4_Call","V4_Musik","V4_Familie","V4_Partei","V4_Trend","V5_Link","V5_Views","V5_Likes","V5_Kommentare","V5_Shares","V5_Setting","V5_Selfie","V5_Kleidung","V5_Call","V5_Musik","V5_Familie","V5_Partei","V5_Trend","V6_Link","V6_Views","V6_Likes","V6_Kommentare","V6_Shares","V6_Setting","V6_Selfie","V6_Kleidung","V6_Call","V6_Musik","V6_Familie","V6_Partei","V6_Trend","V7_Link","V7_Views","V7_Likes","V7_Kommentare","V7_Shares","V7_Setting","V7_Selfie","V7_Kleidung","V7_Call","V7_Musik","V7_Familie","V7_Partei","V7_Trend","V8_Link","V8_Views","V8_Likes","V8_Kommentare","V8_Shares","V8_Setting","V8_Selfie","V8_Kleidung","V8_Call","V8_Musik","V8_Familie","V8_Partei","V8_Trend","V9_Link","V9_Views","V9_Likes","V9_Kommentare","V9_Shares","V9_Setting","V9_Selfie","V9_Kleidung","V9_Call","V9_Musik","V9_Familie","V9_Partei","V9_Trend","V10_Link","V10_Views","V10_Likes","V10_Kommentare","V10_Shares","V10_Setting","V10_Selfie","V10_Kleidung","V10_Call","V10_Musik","V10_Familie","V10_Partei","V10_Trend"
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","001","Person","Abrahamczik","Nina","weiblich",1982,"SPÖ","Wien","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","002","Person","Abwerzger","Markus","männlich",1975,"FPÖ","Tirol","Landtag","ja","https://www.tiktok.com/@markusabwerzger","ja","ja",8804,1596,123,90100,"FPÖ-Landesparteiobmann & Klubobmann in Tirol","https://www.tiktok.com/@markusabwerzger/video/7302748489606286625",290800,17700,662,4107,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7426628014219267360",107100,5939,650,909,"Arbeit","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7348044338405887264",116900,5541,5,649,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7244578841853791514",54800,4072,140,814,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7427044677225811232",67500,3143,237,206,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7283942803804081440",45400,2318,171,253,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7244888496203255066",41600,2033,107,171,"Privat","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7420493310646586656",24800,1925,373,163,"Arbeit","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7301287624130432288",33900,1855,68,129,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@markusabwerzger/video/7428976080771452193",21200,1585,152,107,"Arbeit","nein","leger","nein","nein","nein","erkennbar","nein"
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","003","Person","Achhorner","Evelyn","weiblich",1965,"FPÖ","Tirol","Landtag","nein",NA,"nein","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","004","Person","Achleitner","Markus","männlich",1969,"ÖVP","Oberösterreich","Landesregierung","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","005","Person","Ackerl","Alexander","männlich",1991,"SPÖ","Wien","Landtag","ja","https://www.tiktok.com/@alexander.ackerl","ja","ja",773,732,28,2626,NA,"https://www.tiktok.com/@alexander.ackerl/video/7476363318878391574",6630,406,70,15,"Privat","nein","leger","ja","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7495448450482507031",5550,246,25,17,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7455686067375607062",5590,216,43,40,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7464186013011758358",2820,185,14,6,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7470098112896388374",4182,168,5,30,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7477476764189609238",2605,144,34,13,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7497140982870330646",1800,133,23,5,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7456773611588799766",4490,108,17,7,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7488615174044241174",2100,105,30,3,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@alexander.ackerl/video/7458690622397025559",5260,93,27,23,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein"
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","006","Person","Ahrer","Helga","weiblich",1967,"SPÖ","Steiermark","Landtag","nein",NA,"nein","nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","007","Person","Aigner","Joachim","männlich",1976,"MFG","Oberösterreich","Landtag","ja","https://www.tiktok.com/@joachimaigner27","ja","ja",7877,1119,296,125100,"Unternehmer https://joachimaigner.at/","https://www.tiktok.com/@joachimaigner27/video/7270560377858002208",1800000,99700,1292,20000,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7489504629567360278",67600,1466,109,414,"Privat","nein","leger","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7275594861322063136",14100,1213,90,201,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7519444574276750614",32000,1041,44,204,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7244191289405721882",9448,887,38,146,"Arbeit","nein","formal","nein",NA,"nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7355726430233218337",18400,703,42,100,"Privat","ja","formal","ja","nein","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7388840280188865824",15600,619,48,117,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7247185281068174618",19500,554,19,22,"Arbeit","nein","formal","nein","ja","nein","nicht erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7310691132093107489",7776,497,29,114,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@joachimaigner27/video/7273162928801484064",7595,478,7,45,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein"
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","008","Person","Akcay","Safak","weiblich",1974,"SPÖ","Wien","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","009","Person","Al-Rawi","Omar","männlich",1961,"SPÖ","Wien","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","010","Person","Aldali","Lisa","weiblich",1989,"NEOS","Österreich","Nationalrat","nein",NA,"nein","nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","011","Person","Allgäuer","Daniel","männlich",1964,"FPÖ","Vorarlberg","Landesregierung","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","012","Person","Amesbauer","Hannes","männlich",1981,"FPÖ","Steiermark","Landesregierung","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","013","Person","Amhof","Nikolaus","männlich",1962,"FPÖ","Österreich","Bundesrat","nein",NA,"nein","nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","014","Person","Ammer","Reinhard","männlich",1976,"GRÜNE","Oberösterreich","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","015","Person","Amon","Werner","männlich",1969,"ÖVP","Steiermark","Landtag","nein",NA,"ja","nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","016","Person","Anderle","Patricia","weiblich",1970,"SPÖ","Wien","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","017","Person","Angerer","Erwin","männlich",1964,"FPÖ","Kärnten","Landtag","ja","https://www.tiktok.com/@erwin_angerer","ja","ja",3110,1036,85,25100,"Landesparteiobmann der FPÖ Kärnten Bürgermeister der Gemeinde Mühldorf","https://www.tiktok.com/@erwin_angerer/video/7205934404735126789",47600,2869,132,465,"Arbeit","nein","formal","ja","ja","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7327063475425971489",44900,2110,59,66,"Privat","ja","leger","ja","nein","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7206328841126546693",22000,1571,66,211,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7206689169937091845",28900,1291,54,174,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7280463943968083232",22900,1255,55,143,"Arbeit","nein","formal","ja","nein","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7204532986048449797",11100,887,51,61,"Arbeit","nein","formal","ja","ja","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7359111912644283680",7435,696,84,28,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7302476803476557088",22700,676,25,58,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7336087400365444384",13600,675,25,26,"Privat","nein","leger","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@erwin_angerer/video/7204946194462805253",8369,643,33,60,"Arbeit","nein","formal","ja","ja","nein","erkennbar","nein"
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","018","Person","Angerlehner","Margit","weiblich",1972,"ÖVP","Oberösterreich","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","019","Person","Antauer","Martin","männlich",1967,"FPÖ","Niederösterreich","Landesregierung","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","020","Person","Antlinger","Thomas","männlich",1994,"SPÖ","Oberösterreich","Landtag","ja","https://www.tiktok.com/@thantlinger","ja","ja",395,1076,15,3478,"SPÖ Landtagsabgeordneter in Oberösterreich ️ Stadtrat in Grieskirchen","https://www.tiktok.com/@thantlinger/video/7224413563345980698",7878,1290,0,8,NA,NA,NA,"nein","nein","nein","nicht erkennbar","ja","https://www.tiktok.com/@thantlinger/video/7208581284744989958",13200,582,0,160,"Arbeit","ja","formal","ja","ja","nein","nicht erkennbar","nein","https://www.tiktok.com/@thantlinger/video/7219303877890411802",9330,518,12,42,"Privat","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@thantlinger/video/7232046883533802778",4602,428,1,23,"Arbeit","nein","formal","nein","nein","nein","nicht erkennbar","nein","https://www.tiktok.com/@thantlinger/video/7385669077240450337",3837,152,1,8,"Privat","ja","leger","nein","ja","nein","nicht erkennbar","ja","https://www.tiktok.com/@thantlinger/video/7378465431591374113",4926,132,78,14,NA,NA,NA,"nein","ja","nein","erkennbar","ja","https://www.tiktok.com/@thantlinger/photo/7460566941246410006",8905,120,0,2,NA,NA,NA,NA,"ja","nein","nicht erkennbar","nein","https://www.tiktok.com/@thantlinger/video/7213056260797779205",1209,95,3,1,NA,NA,NA,"nein","ja","nein","nicht erkennbar","ja","https://www.tiktok.com/@thantlinger/video/7195205218403978502",1985,57,1,1,NA,NA,NA,"nein","ja","nein","nicht erkennbar","ja","https://www.tiktok.com/@thantlinger/video/7176330515174182149",951,23,2,8,"Arbeit","nein","formal","nein","ja","nein","nicht erkennbar","ja"
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","021","Person","Appler","Christoph","männlich",1985,"ÖVP","Tirol","Landtag","nein",NA,"ja","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.0 (2026-03-05)","doi:10.11587/BA1ORN","022","Person","Arapović","Selma","weiblich",1976,"NEOS","Wien","Landtag","ja","https://www.tiktok.com/@selma.arapovic","ja","ja",233,246,24,712,"Ganz ehrlich für Wien 🩷 Am . April NEOS wählen ️","https://www.tiktok.com/@selma.arapovic/video/7491292501131775254",3038,88,9,6,"Privat","nein","formal","nein","ja","nein","nicht erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7482685614316473622",2039,50,1,8,"Arbeit","nein","leger","nein","ja","nein","erkennbar","ja","https://www.tiktok.com/@selma.arapovic/video/7510238810320538912",2811,48,56,0,"Arbeit","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7496823851481943318",1803,45,6,0,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7491998696905772310",1095,42,6,2,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7493790305930480918",1346,37,0,0,"Arbeit","nein","formal","nein","nein","nein","erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7497173492002032929",1444,35,15,0,"Arbeit","nein","leger","ja","ja","nein","erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7495731564693687574",1178,32,2,2,"Privat","nein","formal","nein","ja","nein","erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7550362706922999073",1001,25,1,1,"Privat","nein","formal","nein","ja","nein","nicht erkennbar","nein","https://www.tiktok.com/@selma.arapovic/video/7547739898166381856",1098,25,3,2,"Privat","nein","formal","nein","nein","nein","erkennbar","nein"
